English US,English GB,Deutsch DE,Íslenska IS,Français FR,Svenska
All Yarns Are Beautiful,All Yarns Are Beautiful,All Yarns Are Beautiful,Allt Garn Er Fallegt,All Yarns Are Beautiful,Alla garn är vackra
File,File,Datei,Skrá,Fichier,Fil
Help,Help,Hilfe,Hjálp,Aide,Hjälp
Tools,Tools,Werkzeuge,Verkfæri,Outils,Verktyg
Image Actions,Image Actions,Musterbearbeitung,Mynd,Image,Bild
Load AYAB Firmware,Load AYAB Firmware,AYAB Firmware aufspielen,Hlaða AYAB vélbúnaði,,Ladda AYAB firmware
Quit,Quit,Beenden,Hætta,Quitter,Avsluta
Open Knitting Project,Open Knitting Project,Projekt öffnen,Opna skrá,Ouvrir un projet,Öppna projekt
Help - About,Help - About,Hilfe - Über,Hjálp - um,Aide - À propos,Hjälp - Om
Invert,Invert,Invertieren,Á hvolfi,Inverser,
Stretch,Stretch,Strecken,Teygja,,
Repeat,Repeat,Wiederholen,Endurtaka,Répéter,
Reflect,Reflect,Spiegeln,Endurspegla,Refléter,
Horizontal Flip,Horizontal Flip,Horizontal spiegeln,Snúa lárétt,,
Vertical Flip,Vertical Flip,Vertikal spiegeln,Snúa lóðrétt,,
Rotate Left,Rotate Left,Links drehen,Snúa til vinstri,Tourner à gauche,
Rotate Right,Rotate Right,Rechts drehen,Snúa til hægri,Tourner à droite,
Reflect image,Reflect image,Muster spiegeln,Endurspegla mynd,Refléter l'image,
Add mirrors,Add mirrors,Spiegel,Spegla,Miroirs,
Center,Centre,Zentral,Miðja,Centre,
Left,Left,Links,Vinstri,Gauche,
Right,Right,Rechts,Hægri,Droite,
Top,Top,Oben,Efst,Haut,
Bottom,Bottom,Unter,Neðst,Bas,
OK,OK,OK,Í lagi,Confirmer,
Reset,Reset,Zurücksetzen,Endurstilla / Reset,Réinitialiser,
Refresh,Refresh,Aktualisieren,Endurnýja / Refresh,Réactualiser,
Colors,Colours,Farben,Litir,Couleurs,
Color,Colour,Farbe,Litur,Couleur,
green,green,grün,Grænn,vert,
orange,orange,orange,Appelsínugulur,orange,
1. Load Image File,1. Load Image File,1. Muster öffnen,1. Hlaðið myndskrá,1. Charger une image,
Knitting Options,Knitting Options,Strickeinstellungen,Prjóna valkostir,Options de tricot,
2. Knit!,2. Knit!,2. Stricken!,2. Prjónið!,2. Tricotez!,
Cancel Knitting,Cancel Knitting,Stricken abbrechen,Hætta við að prjóna,Annuler le tricot en cours,
Assistant,Assistant,Assistent,Aðstoð,Assistant,
Row,Row,Zeile,Umferð,,
Start Row,Start Row,Startzeile,Byrja umferð,,
Port Selection,Port Selection,Port wählen,Velja port,,
Infinite Repeat,Infinite Repeat,Unendlich wiederholen,Endurtekning,,
Start Needle,Start Needle,Startnadel,Byrjunar nál,,
Stop Needle,Stop Needle,Stopnadel,Enda nál,,
Alignment,Alignment,Ausrichtung,Jafna,Alignement,
Mirror Image,Mirror Image,Muster spiegeln,Spegilmynd,,
Continuous Status Reporting,Continuous Status Reporting,Kontinuierlich Berichterstattung,Stöðug skýrsla,,
Status,Status,Status,Staða,Statut,
Hall Sensors,Hall Sensors,Hall-Effekt-Sensoren,Skynjari,Capteurs à effet Hall,
Hall Left,Hall Left,Hallsensor links,Vinstri skynjari,Hall Gauche,
Hall Right,Hall Right,Hallsensor rechts,Hægri skynjari,Hall Droite,
Carriage,Carriage,Schlitten,Vagn,Navette,
No carriage detected,No carriage detected,Kein Schlitten erkannt,Finn ekki vagn,,
Pass,Pass,Übergang,Pass,,
direction,direction,Richtung,Stefna,direction,
Progress,Progress,Fortschritt,Staða,Progrès,
Simulation,Simulation,Simulation,Hermir / Simulation,Simulation,
Preferences,Preferences,Voreinstellungen,Forstillingar,Préférences,
Set Preferences,Set Preferences,Voreinstellungen festlegen,Setjið forstillingar,Indiquez vos préférences,
Settings,Settings,Einstellungen,Stillingar,Paramètres,
Default Knitting Mode,Default Knitting Mode,Strickmodus,Sjálfgefin prjónahamur,,
Default Infinite Repeat,Default Infinite Repeat,Unendlich wiederholen,Sjálfgefin endurtekning,,
Default Alignment,Default Alignment,Ausrichtung,Sjálfgefin jafna,,
Default Mirroring,Default Mirroring,Spiegelung,Sjálfgefin speglun,,
Quiet Mode,Quiet Mode,Lautlos,Hljóðlaus stilling,Silencieux,
Knitting Mode,Knitting Mode,Strickmodus,Prjóna stilling,,
Singlebed,Singlebed,Einbett,Eitt borð / singelbed,,
Ribber,Ribber,Rippenstricker,Ribber,,
Classic,Classic,Klassisch,Klassískt ,Classique,
Middle-colors-twice,Middle-colours-twice,Mittel-farben-zweimal,Miðlitur-tvisvar ,,
Circular,Circular,Rundstricken,Hringurprjón,Circulaire,
You need to set an image.,You need to set an image.,Sie müssen ein Muster hochladen.,Þú verður að hlaða mynd,Choisissez une image pour continuer.,
Invalid needle start and end.,Invalid needle start and end.,Ungültige Startnadel und Endnadel.,Röng start nál og enda nál,,
Start row is larger than the image.,Start row is larger than the image.,Die Startzeile ist größer als das Muster.,Byrjunaröð er stærri en mynd,,
Please choose a valid port.,Please choose a valid port.,Bitte wählen Sie einen gültigen Port.,Veljið rétt port,Veuillez choisir un port valide.,
Singlebed knitting currently supports only 2 colors.,Singlebed knitting currently supports only 2 colours.,Einbettstricken unterstützt nur 2 Farben.,Stilling styður bara tvo liti,,
Circular knitting supports only 2 colors.,Circular knitting supports only 2 colours.,Rundstricken unterstützt nur 2 Farben.,Hringprjón styður bara tvo liti,Le mode tricot circulaire est limité à deux couleurs,
Connecting to machine...,Connecting to machine...,Verbindung zur Maschine...,Tengist vél...,Connection en cours...,
Please start machine. (Set the carriage to mode KC-I or KC-II and move the carriage over the left turn mark).,Please start machine. (Set the carriage to mode KC-I or KC-II and move the carriage over the left turn mark).,Bitte starten Sie die Maschine. (Stellen Sie den Schlitten auf KC-I oder KC-II und bewegen Sie den Schlitten über die linke Abbiegemarke.),Kveikið á vélinni. (Stillið vagninn á KC-I eða KC-II og færið vagninn til vinstra yfir skynjarann).,Veuillez démarrer la machine. (Mettre la navette sur le mode KC-I ou KCII et la placer sur le côté gauche).,
Wrong Arduino firmware version. Please check that you have flashed the latest version.,Wrong Arduino firmware version. Please check that you have flashed the latest version.,Falsche Arduino-Firmware-Version.,Röng Arduino vélbúnaðarútgáfa. Vinsamlegast kannið hvort þú hafir nýjustu útgáfuna.,,
Please knit,Please knit,Bitte fangen Sie an zu stricken.,Vinsamlegast prjónið,Commencez le tricot,
"Device not ready, try again.","Device not ready, try again.","Gerät nicht bereit, bitte versuchen Sie es erneut.","Tækið ekki tilbúið, reyndu aftur.","La machine n'est pas prête, essayez encore.",
Image transmission finished. Please knit until you hear the double beep sound.,Image transmission finished. Please knit until you hear the double beep sound.,"Musterübertragung beendet. Bitte stricken Sie, bis Sie den doppelten Piepton hören.",Myndhleðslu lokið. Prjónið þangað til þú heyrir tvöfalt píphljóð.,Image transmise. Tricotez jusqu'à ce que vous entendiez un double bip.,
Knitting canceled.,Knitting cancelled.,Stricken abgebrochen.,Hætt við prjón.,Annulation du tricot,

